,weekday,weekday_name,trip_count
0,5,Friday,223533
1,6,Saturday,220868
2,4,Thursday,218576
3,3,Wednesday,210172
4,2,Tuesday,202749
5,7,Sunday,195366
6,1,Monday,187418
